10567	10261
10690	10605
10688	10603
10823	10808
10689	10604
10411	10100
10485	10100
10737	10100
10061	10054
10565	10259
10638	10470
10313	10238
10566	10260
10344	10214
10785	10777
10322	10079
10822	10807
10062	10055
10275	10055
10410	10099
10484	10099
10736	10099
10479	10058
10687	10602
10412	10101
10486	10101
10738	10101
10478	10057
10637	10469
10797	10795
10800	10795
10357	10001
10634	10466
10346	10235
10633	10465
10724	10465
10632	10464
10568	10262
10243	10228
10519	10228
10570	10264
10284	10030
10285	10031
10095	10087
10748	10194
10692	10597
10747	10597
10220	10162
10063	10056
10276	10056
10744	10219
10309	10084
10407	10084
10561	10084
10639	10084
10701	10084
10314	10241
10802	10799
10635	10467
10563	10257
10282	10028
10281	10027
10415	10017
10283	10029
10185	10126
10732	10691
10798	10796
10801	10796
10636	10468
10564	10258
10666	10246
10569	10263
10720	10302
10693	10399
10312	10074
10398	10201
