10876	10335
11116	10927
11114	10925
11092	10089
11115	10926
10487	10531
10811	10309
10584	10135
10682	10135
11183	10135
10974	10588
10874	10333
10687	10606
10695	10614
11074	10071
10693	10612
10441	10307
10810	10307
10875	10334
10660	10595
10478	10525
10464	10283
11237	11226
11093	10090
10450	10092
10745	10352
10994	10352
10583	10134
10681	10134
11182	10134
11081	10631
10312	10297
10677	10066
10179	10113
10579	10113
11185	10113
11113	10924
10685	10604
10585	10136
10683	10136
11184	10136
11014	10162
10644	10641
10721	10465
11073	10070
10676	10065
10884	10164
10696	10615
10976	10591
10690	10609
10645	10642
11255	11252
11257	11252
11260	11252
11263	11252
11266	11252
10688	10607
10497	10540
10809	10306
10519	10001
10466	10304
10702	10304
10691	10610
11167	10663
11150	10893
11091	10088
10877	10336
10296	10166
10738	10166
10879	10338
10359	10039
10360	10040
11089	10086
10123	10106
10982	10106
11189	10257
10692	10611
11119	10919
11187	10919
10743	10350
10992	10350
10684	10603
11188	10084
10437	10101
10578	10101
10863	10101
10991	10101
11135	10101
11148	10890
10442	10310
10812	10310
11253	11250
11258	11250
11261	11250
11264	11250
10885	10165
10975	10590
10872	10331
10357	10037
10744	10351
10993	10351
10356	10036
10694	10613
10358	10038
10313	10298
11090	10087
10243	10168
11149	10891
11177	11117
11254	11251
11256	11251
11259	11251
11262	11251
11265	11251
10873	10332
10686	10605
11032	10315
10689	10608
11166	10226
10479	10526
10977	10593
10970	10247
10878	10337
11162	10402
10971	10248
10968	10021
10440	10082
10973	10586
10564	10265
